Validation_Set,Threshold,Strategy,Net_Benefit
MIMIC-III,0.68,XGBoost,0.0592048401037165
MIMIC-III,0.68,Treat all,-1.10133967156439
MIMIC-III,0.68,Treat none,0
MIMIC-III,0.69,XGBoost,0.0601109655114729
MIMIC-III,0.69,Treat all,-1.16912482226002
MIMIC-III,0.69,Treat none,0
MIMIC-III,0.7,XGBoost,0.0636704119850187
MIMIC-III,0.7,Treat all,-1.24142898300202
MIMIC-III,0.7,Treat none,0
MIMIC-III,0.71,XGBoost,0.0633922451047596
MIMIC-III,0.71,Treat all,-1.31871963758829
MIMIC-III,0.71,Treat none,0
MIMIC-III,0.72,XGBoost,0.0598839362884307
MIMIC-III,0.72,Treat all,-1.40153105321645
MIMIC-III,0.72,Treat none,0
MIMIC-III,0.73,XGBoost,0.0551554147059765
MIMIC-III,0.73,Treat all,-1.49047664778002
MIMIC-III,0.73,Treat none,0
MIMIC-III,0.74,XGBoost,0.0563792301043813
MIMIC-III,0.74,Treat all,-1.58626421115617
MIMIC-III,0.74,Treat none,0
MIMIC-III,0.75,XGBoost,0.0527225583405358
MIMIC-III,0.75,Treat all,-1.68971477960242
MIMIC-III,0.75,Treat none,0
MIMIC-III,0.76,XGBoost,0.0455200230481129
MIMIC-III,0.76,Treat all,-1.80178622875252
MIMIC-III,0.76,Treat none,0
MIMIC-III,0.77,XGBoost,0.0522340385554846
MIMIC-III,0.77,Treat all,-1.92360302130698
MIMIC-III,0.77,Treat none,0
MIMIC-III,0.78,XGBoost,0.0443152353264713
MIMIC-III,0.78,Treat all,-2.05649406773002
MIMIC-III,0.78,Treat none,0
MIMIC-III,0.79,XGBoost,0.0402518829485122
MIMIC-III,0.79,Treat all,-2.2020414042886
MIMIC-III,0.79,Treat none,0
MIMIC-III,0.8,XGBoost,0.0328435609334486
MIMIC-III,0.8,Treat all,-2.36214347450303
MIMIC-III,0.8,Treat none,0
MIMIC-IV temporal,0.05,XGBoost,0.295785105918323
MIMIC-IV temporal,0.05,Treat all,0.290674819829657
MIMIC-IV temporal,0.05,Treat none,0
MIMIC-IV temporal,0.06,XGBoost,0.289167475942438
MIMIC-IV temporal,0.06,Treat all,0.283128807274654
MIMIC-IV temporal,0.06,Treat none,0
MIMIC-IV temporal,0.07,XGBoost,0.283978048454022
MIMIC-IV temporal,0.07,Treat all,0.275420514879757
MIMIC-IV temporal,0.07,Treat none,0
MIMIC-IV temporal,0.08,XGBoost,0.276673281616453
MIMIC-IV temporal,0.08,Treat all,0.267544650911059
MIMIC-IV temporal,0.08,Treat none,0
MIMIC-IV temporal,0.09,XGBoost,0.267119602389312
MIMIC-IV temporal,0.09,Treat all,0.259495691030961
MIMIC-IV temporal,0.09,Treat none,0
MIMIC-IV temporal,0.1,XGBoost,0.260396496081143
MIMIC-IV temporal,0.1,Treat all,0.251267865375749
