Model,Validation_Set,Metric,Estimate,Lower,Upper
RandomForest,MIMIC-III,ECE,0.0342257903820037,,
RandomForest,MIMIC-III,MCE,0.0773203916558709,,
RandomForest,MIMIC-III,Sensitivity,0.757255936675462,,
RandomForest,MIMIC-III,Specificity,0.776349614395887,,
RandomForest,MIMIC-III,PPV,0.622559652928417,,
RandomForest,MIMIC-III,NPV,0.867816091954023,,
RandomForest,MIMIC-III,Accuracy,0.77009507346586,,
RandomForest,MIMIC-III,F1,0.683333333333333,,
RandomForest,MIMIC-III,MCC,0.511534182220521,,
RandomForest,MIMIC-IV temporal,AUROC,0.827376251895862,0.80317603320228,0.849844555220691
RandomForest,MIMIC-IV temporal,AUPRC,0.720520561088198,0.678678357832893,0.760136267421332
RandomForest,MIMIC-IV temporal,Calibration_Intercept,-0.14841890631639,,
RandomForest,MIMIC-IV temporal,Calibration_Slope,1.06479635931251,,
RandomForest,MIMIC-IV temporal,Brier,0.153874258256213,0.143535882787805,0.164134592050336
RandomForest,MIMIC-IV temporal,ECE,0.0412243972558661,,
RandomForest,MIMIC-IV temporal,MCE,0.122643132423751,,
RandomForest,MIMIC-IV temporal,Sensitivity,0.7735368956743,,
RandomForest,MIMIC-IV temporal,Specificity,0.710591133004926,,
RandomForest,MIMIC-IV temporal,PPV,0.564007421150278,,
RandomForest,MIMIC-IV temporal,NPV,0.866366366366366,,
RandomForest,MIMIC-IV temporal,Accuracy,0.731120331950207,,
RandomForest,MIMIC-IV temporal,F1,0.652360515021459,,
RandomForest,MIMIC-IV temporal,MCC,0.456460308620197,,
RandomForest,NWICU,AUROC,0.848059518331032,0.81289279694421,0.879595557545194
RandomForest,NWICU,AUPRC,0.679867967464415,0.600656023232552,0.746033728311738
RandomForest,NWICU,Calibration_Intercept,-0.65864624725578,,
RandomForest,NWICU,Calibration_Slope,1.35227623214625,,
RandomForest,NWICU,Brier,0.142641022604471,0.129876633042178,0.156051701509838
RandomForest,NWICU,ECE,0.107296670387751,,
RandomForest,NWICU,MCE,0.199408036006513,,
RandomForest,NWICU,Sensitivity,0.871951219512195,,
RandomForest,NWICU,Specificity,0.656184486373166,,
RandomForest,NWICU,PPV,0.465798045602606,,
RandomForest,NWICU,NPV,0.937125748502994,,
RandomForest,NWICU,Accuracy,0.711388455538222,,
RandomForest,NWICU,F1,0.607218683651805,,
RandomForest,NWICU,MCC,0.461300815540108,,
RandomForest,eICU,AUROC,0.856794123307885,0.838223264621433,0.872934178933617
RandomForest,eICU,AUPRC,0.732415432949702,0.694049797371334,0.770287758871624
RandomForest,eICU,Calibration_Intercept,-0.604615466099392,,
RandomForest,eICU,Calibration_Slope,1.18380830978346,,
RandomForest,eICU,Brier,0.151120792696809,0.143303180346186,0.159913966956738
RandomForest,eICU,ECE,0.0969992569497235,,
RandomForest,eICU,MCE,0.170278788736957,,
RandomForest,eICU,Sensitivity,0.893939393939394,,
RandomForest,eICU,Specificity,0.618207480592802,,
RandomForest,eICU,PPV,0.521662245800177,,
RandomForest,eICU,NPV,0.92600422832981,,
RandomForest,eICU,Accuracy,0.705825710158883,,
RandomForest,eICU,F1,0.658849804578448,,
RandomForest,eICU,MCC,0.478822499010354,,
SVM_RBF,Development nested OOF,AUROC,0.861652241181001,0.850649870103344,0.872189909887291
SVM_RBF,Development nested OOF,AUPRC,0.754344973732539,0.733093230623316,0.775336715869679
SVM_RBF,Development nested OOF,Calibration_Intercept,-0.0175428814466965,,
SVM_RBF,Development nested OOF,Calibration_Slope,1.01968532499908,,
SVM_RBF,Development nested OOF,Brier,0.137943631096958,0.132100572206445,0.144082070254678
SVM_RBF,Development nested OOF,ECE,0.0348438049016436,,
SVM_RBF,Development nested OOF,MCE,0.0658539291878138,,
SVM_RBF,Development nested OOF,Sensitivity,0.816265060240964,,
SVM_RBF,Development nested OOF,Specificity,0.752745705435089,,
SVM_RBF,Development nested OOF,PPV,0.606806986117331,,
SVM_RBF,Development nested OOF,NPV,0.897582269979852,,
SVM_RBF,Development nested OOF,Accuracy,0.772980234120131,,
SVM_RBF,Development nested OOF,F1,0.696121243257128,,
SVM_RBF,Development nested OOF,MCC,0.535726531740433,,
SVM_RBF,MIMIC-III,AUROC,0.828319688532263,0.798661632372277,0.853159909511668
SVM_RBF,MIMIC-III,AUPRC,0.725643674127845,0.677852448284152,0.769126903794003
SVM_RBF,MIMIC-III,Calibration_Intercept,0.0985671426267623,,
SVM_RBF,MIMIC-III,Calibration_Slope,0.932705366836247,,
SVM_RBF,MIMIC-III,Brier,0.151505627093446,0.137696133673636,0.164368264198198
SVM_RBF,MIMIC-III,ECE,0.0366715637963111,,
SVM_RBF,MIMIC-III,MCE,0.193031525920997,,
SVM_RBF,MIMIC-III,Sensitivity,0.786279683377309,,
SVM_RBF,MIMIC-III,Specificity,0.758354755784062,,
SVM_RBF,MIMIC-III,PPV,0.613168724279835,,
SVM_RBF,MIMIC-III,NPV,0.879284649776453,,
SVM_RBF,MIMIC-III,Accuracy,0.767502160760588,,
SVM_RBF,MIMIC-III,F1,0.689017341040462,,
SVM_RBF,MIMIC-III,MCC,0.517887118194951,,
SVM_RBF,MIMIC-IV temporal,AUROC,0.823944897780118,0.798675966724006,0.849345109728089
SVM_RBF,MIMIC-IV temporal,AUPRC,0.714498176448271,0.668805336367061,0.758692254359811
SVM_RBF,MIMIC-IV temporal,Calibration_Intercept,-0.151484676713781,,
SVM_RBF,MIMIC-IV temporal,Calibration_Slope,0.817600791446176,,
SVM_RBF,MIMIC-IV temporal,Brier,0.158016983806495,0.144820016365674,0.171276720196109
SVM_RBF,MIMIC-IV temporal,ECE,0.0545630560173162,,
SVM_RBF,MIMIC-IV temporal,MCE,0.149552718490371,,
SVM_RBF,MIMIC-IV temporal,Sensitivity,0.798982188295165,,
SVM_RBF,MIMIC-IV temporal,Specificity,0.683497536945813,,
SVM_RBF,MIMIC-IV temporal,PPV,0.549912434325744,,
SVM_RBF,MIMIC-IV temporal,NPV,0.875394321766562,,
SVM_RBF,MIMIC-IV temporal,Accuracy,0.721161825726141,,
SVM_RBF,MIMIC-IV temporal,F1,0.651452282157676,,
SVM_RBF,MIMIC-IV temporal,MCC,0.452992148742721,,
SVM_RBF,NWICU,AUROC,0.843086874264969,0.806072813352225,0.876417044050503
SVM_RBF,NWICU,AUPRC,0.680234111347799,0.60037697986651,0.752607319599509
SVM_RBF,NWICU,Calibration_Intercept,-0.592435131953461,,
SVM_RBF,NWICU,Calibration_Slope,0.929726089282897,,
SVM_RBF,NWICU,Brier,0.137225129534789,0.120810746009273,0.153541911492582
SVM_RBF,NWICU,ECE,0.0794649187250469,,
SVM_RBF,NWICU,MCE,0.169013223706818,,
SVM_RBF,NWICU,Sensitivity,0.841463414634146,,
SVM_RBF,NWICU,Specificity,0.687631027253669,,
SVM_RBF,NWICU,PPV,0.480836236933798,,
SVM_RBF,NWICU,NPV,0.926553672316384,,
SVM_RBF,NWICU,Accuracy,0.726989079563183,,
SVM_RBF,NWICU,F1,0.611973392461197,,
