Outer_Fold,Feature,Boruta,LASSO,Selected,Forced,Fallback,Lambda_1se
6,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0177561668987823
6,Cl,TRUE,TRUE,TRUE,FALSE,FALSE,0.0177561668987823
6,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0177561668987823
6,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0177561668987823
6,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0177561668987823
7,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0178867126815542
7,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,ICU_Type,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178867126815542
7,OASIS,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Diabetes,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,COPD,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,HF,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Stroke,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Malignancy,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Lung_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,GI_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,GU_Infection,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Other_Infection,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,MAP,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178867126815542
7,Heart_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Resp_Rate,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Temperature,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Hb,FALSE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,WBC,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Plt,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Cre,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178867126815542
7,AST,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,TBil,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178867126815542
7,Na,TRUE,TRUE,TRUE,FALSE,FALSE,0.0178867126815542
7,K,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Ca,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Cl,TRUE,FALSE,FALSE,FALSE,FALSE,0.0178867126815542
7,Plt_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178867126815542
7,INR_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178867126815542
7,SOFA_S,TRUE,TRUE,TRUE,TRUE,FALSE,0.0178867126815542
8,Age,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Gender,FALSE,TRUE,FALSE,FALSE,FALSE,0.0145599988044737
8,Race,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,ICU_Type,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,SOFA,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,OASIS,TRUE,TRUE,TRUE,FALSE,FALSE,0.0145599988044737
8,Charlson,TRUE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
8,Hypertension,FALSE,FALSE,FALSE,FALSE,FALSE,0.0145599988044737
